ModemTime,Longitude,Latitude
2022-05-04 09:37:37.000,"4,387,144","203,649"
2022-05-04 09:38:08.000,"4,386,899","203,666,816"
2022-05-04 09:38:38.000,"438,669,049","203,687,516"
2022-05-04 09:39:08.000,"438,667,466","203,732,533"
2022-05-04 09:39:38.000,"438,660,833","20,377,685"
2022-05-04 09:39:59.000,"438,654,833","203,790,516"
2022-05-04 09:40:29.000,"43,864,605","203,772,583"
2022-05-04 09:40:53.000,"438,642,016","203,758,533"
2022-05-04 09:41:21.000,"438,648,266","203,756,066"
2022-05-04 09:41:25.000,"438,648,716","2,037,569"
2022-05-04 09:41:33.000,"438,649,349","2,037,592"
2022-05-04 09:41:37.000,"43,864,975","203,758,899"
2022-05-04 09:42:04.000,"438,649,349","20,376,005"
2022-05-04 09:42:04.010,"438,649,349","20,376,005"
2022-05-04 09:43:03.000,"438,649,349","20,376,005"
2022-05-04 10:16:59.000,"438,648,366","203,759,633"
2022-05-04 10:16:59.010,"438,648,366","203,759,633"
2022-05-04 10:17:09.000,"43,864,835","203,759,616"
2022-05-04 10:17:31.000,"438,647,099","203,756,416"
2022-05-04 10:17:54.000,"438,641,466","203,758,633"
2022-05-04 10:18:24.000,"438,644,933","2,037,694"
2022-05-04 10:18:54.000,"438,651,116","203,784,333"
2022-05-04 10:19:17.000,"438,655,683","203,791,716"
2022-05-04 10:19:47.000,"438,645,033","20,381,915"
2022-05-04 10:20:17.000,"438,628,383","203,852,016"
2022-05-04 10:20:46.000,"438,606,399","2,038,858"
2022-05-04 10:21:16.000,"4,385,841","203,918,916"
2022-05-04 10:21:46.000,"438,573,799","203,934,766"
2022-05-04 10:22:16.000,"438,558,716","203,974,733"
2022-05-04 10:22:47.000,"438,548,016","2,040,272"
2022-05-04 10:23:17.000,"438,525,083","204,067,533"
2022-05-04 10:23:47.000,"438,517,166","204,088,333"
2022-05-04 10:24:09.000,"438,514,683","204,114,183"
2022-05-04 10:24:39.000,"438,534,066","204,118,849"
2022-05-04 10:25:09.000,"438,549,033","204,143,183"
2022-05-04 10:25:39.000,"438,567","2,041,698"
2022-05-04 10:26:09.000,"438,571,166","204,198,266"
2022-05-04 10:26:39.000,"438,571,233","20,419,845"
2022-05-04 10:26:40.000,"438,571,233","20,419,845"
2022-05-04 10:27:10.000,"438,571,233","20,419,845"
2022-05-04 10:27:40.000,"4,385,725","204,200,733"
2022-05-04 10:28:10.000,"438,588,833","20,421,695"
2022-05-04 10:28:40.000,"438,589,266","204,217,283"
2022-05-04 10:29:10.000,"438,589,266","204,217,283"
2022-05-04 10:29:41.000,"438,589,183","204,215,683"
2022-05-04 10:29:57.000,"4,385,895","204,215,266"
2022-05-04 10:29:57.010,"4,385,895","204,215,266"
2022-05-04 10:30:56.000,"4,385,895","204,215,266"
2022-05-04 11:31:03.000,"4,385,895","204,215,266"
2022-05-04 12:31:09.000,"4,385,895","204,215,266"
2022-05-04 13:31:15.000,"4,385,895","204,215,266"
2022-05-04 14:31:22.000,"4,385,895","204,215,266"
2022-05-04 15:31:28.000,"4,385,895","204,215,266"
2022-05-04 16:31:34.000,"4,385,895","204,215,266"
2022-05-04 17:31:41.000,"4,385,895","204,215,266"
2022-05-04 18:31:47.000,"4,385,895","204,215,266"
2022-05-04 19:31:53.000,"4,385,895","204,215,266"
2022-05-04 20:31:59.000,"4,385,895","204,215,266"
2022-05-04 21:32:05.000,"4,385,895","204,215,266"
2022-05-04 22:32:12.000,"4,385,895","204,215,266"
2022-05-04 23:32:18.000,"4,385,895","204,215,266"
2022-05-05 00:32:25.000,"4,385,895","204,215,266"
2022-05-05 01:32:32.000,"4,385,895","204,215,266"
2022-05-05 02:32:38.000,"4,385,895","204,215,266"
2022-05-05 03:32:45.000,"4,385,895","204,215,266"
2022-05-05 04:32:51.000,"4,385,895","204,215,266"
2022-05-05 05:32:58.000,"4,385,895","204,215,266"
2022-05-05 06:33:03.000,"4,385,895","204,215,266"
2022-05-05 07:33:09.000,"4,385,895","204,215,266"
2022-05-05 08:33:16.000,"4,385,895","204,215,266"
2022-05-05 09:33:22.000,"4,385,895","204,215,266"
2022-05-05 10:33:28.000,"4,385,895","204,215,266"
2022-05-05 11:33:35.000,"4,385,895","204,215,266"
2022-05-05 12:33:41.000,"4,385,895","204,215,266"
2022-05-05 13:33:48.000,"4,385,895","204,215,266"
2022-05-05 14:33:54.000,"4,385,895","204,215,266"
2022-05-05 15:34:00.000,"4,385,895","204,215,266"
2022-05-05 16:34:07.000,"4,385,895","204,215,266"
2022-05-05 17:34:13.000,"4,385,895","204,215,266"
2022-05-05 18:34:20.000,"4,385,895","204,215,266"
2022-05-05 19:34:26.000,"4,385,895","204,215,266"
2022-05-05 20:34:31.000,"4,385,895","204,215,266"
2022-05-05 21:34:38.000,"4,385,895","204,215,266"
2022-05-05 22:34:44.000,"4,385,895","204,215,266"
2022-05-05 23:34:51.000,"4,385,895","204,215,266"
2022-05-06 00:34:57.000,"4,385,895","204,215,266"
2022-05-06 01:35:03.000,"4,385,895","204,215,266"
2022-05-06 02:35:11.000,"4,385,895","204,215,266"
2022-05-06 03:35:16.000,"4,385,895","204,215,266"
2022-05-06 04:35:24.000,"4,385,895","204,215,266"
2022-05-06 05:35:30.000,"4,385,895","204,215,266"
2022-05-06 06:35:35.000,"4,385,895","204,215,266"
2022-05-06 07:35:42.000,"4,385,895","204,215,266"
2022-05-06 08:35:49.000,"4,385,895","204,215,266"
2022-05-06 09:35:55.000,"4,385,895","204,215,266"
2022-05-06 10:36:01.000,"4,385,895","204,215,266"
2022-05-06 11:36:07.000,"4,385,895","204,215,266"
2022-05-06 12:36:14.000,"4,385,895","204,215,266"
2022-05-06 13:36:20.000,"4,385,895","204,215,266"
2022-05-06 14:36:26.000,"4,385,895","204,215,266"
2022-05-06 15:36:33.000,"4,385,895","204,215,266"
2022-05-06 16:36:39.000,"4,385,895","204,215,266"
2022-05-06 17:36:45.000,"4,385,895","204,215,266"
2022-05-06 18:36:52.000,"4,385,895","204,215,266"
2022-05-06 19:36:58.000,"4,385,895","204,215,266"
2022-05-06 20:37:05.000,"4,385,895","204,215,266"
2022-05-06 21:37:11.000,"4,385,895","204,215,266"
2022-05-06 22:37:17.000,"4,385,895","204,215,266"
2022-05-06 23:37:23.000,"4,385,895","204,215,266"
2022-05-07 00:37:30.000,"4,385,895","204,215,266"
2022-05-07 01:37:37.000,"4,385,895","204,215,266"
2022-05-07 02:37:43.000,"4,385,895","204,215,266"
2022-05-07 03:37:50.000,"4,385,895","204,215,266"
2022-05-07 04:37:55.000,"4,385,895","204,215,266"
2022-05-07 05:38:02.000,"4,385,895","204,215,266"
2022-05-07 06:38:08.000,"4,385,895","204,215,266"
2022-05-07 07:38:14.000,"4,385,895","204,215,266"
2022-05-07 08:38:21.000,"4,385,895","204,215,266"
2022-05-07 09:38:27.000,"4,385,895","204,215,266"
2022-05-07 10:38:34.000,"4,385,895","204,215,266"
2022-05-07 11:38:40.000,"4,385,895","204,215,266"
2022-05-07 12:38:47.000,"4,385,895","204,215,266"
2022-05-07 13:38:54.000,"4,385,895","204,215,266"
2022-05-07 14:38:59.000,"4,385,895","204,215,266"
2022-05-07 15:39:06.000,"4,385,895","204,215,266"
2022-05-07 16:39:12.000,"4,385,895","204,215,266"
2022-05-07 17:39:18.000,"4,385,895","204,215,266"
2022-05-07 18:39:24.000,"4,385,895","204,215,266"
2022-05-07 19:39:30.000,"4,385,895","204,215,266"
2022-05-07 20:39:38.000,"4,385,895","204,215,266"
2022-05-07 21:39:44.000,"4,385,895","204,215,266"
2022-05-07 22:39:50.000,"4,385,895","204,215,266"
2022-05-07 23:39:57.000,"4,385,895","204,215,266"
2022-05-08 00:40:02.000,"4,385,895","204,215,266"
2022-05-08 01:40:09.000,"4,385,895","204,215,266"
